Statistics results for Thu Feb 14 13:05:35 AST 2019
Dataset: F:\Mouniera_ADLQ\TAC_Gene_list_ADLQ_QCRI\QCRI\Gene_list_QCRI_updated_F.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Homo_sapiens_Curation-AnalysisCollection__gpml
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Hs_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: (   [FDR.P.val]   <= 0.05)   AND ( [Fold.Change] >= 2  OR [Fold.Change] <=-2 ) 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 7605
Data points meeting criterion (R): 1

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Oxidative Stress	0	30	32	0.00%	-0.06	0.002
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	0	30	33	0.00%	-0.06	0.009
Prostaglandin Synthesis and Regulation	0	30	44	0.00%	-0.06	0.688
Bladder Cancer	0	31	38	0.00%	-0.06	0.069
Constitutive Androstane Receptor Pathway	0	31	34	0.00%	-0.06	0.008
Endothelin Pathways	0	31	48	0.00%	-0.06	0.869
Ethanol effects on histone modifications	0	31	53	0.00%	-0.06	0.980
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	0	31	34	0.00%	-0.06	0.004
Gastric Cancer Network 2	0	31	35	0.00%	-0.06	0.009
IL17 signaling pathway	0	31	32	0.00%	-0.06	0.003
Matrix Metalloproteinases	0	31	31	0.00%	-0.06	0.004
Monoamine Transport	0	31	47	0.00%	-0.06	0.821
Prader-Willi and Angelman Syndrome	0	31	84	0.00%	-0.06	0.999
Toll-like Receptor Signaling	0	31	32	0.00%	-0.06	0.002
Trans-sulfuration and one carbon metabolism	0	31	52	0.00%	-0.06	0.975
Development and heterogeneity of the ILC family	0	32	33	0.00%	-0.07	0.003
Initiation of transcription and translation elongation at the HIV-1 LTR	0	32	35	0.00%	-0.07	0.002
Ovarian Infertility Genes	0	32	33	0.00%	-0.07	0.002
White fat cell differentiation	0	32	35	0.00%	-0.07	0.005
White fat cell differentiation	0	32	35	0.00%	-0.07	0.005
Alpha 6 Beta 4 signaling pathway	0	33	34	0.00%	-0.07	0.003
BDNF-TrkB Signaling	0	33	38	0.00%	-0.07	0.013
Fluoropyrimidine Activity	0	33	57	0.00%	-0.07	0.994
Monoamine GPCRs	0	33	43	0.00%	-0.07	0.247
Nuclear Receptors in Lipid Metabolism and Toxicity	0	33	48	0.00%	-0.07	0.697
Prion disease pathway	0	33	36	0.00%	-0.07	0.005
Fatty Acid Beta Oxidation	0	34	69	0.00%	-0.07	0.999
p38 MAPK Signaling Pathway	0	34	36	0.00%	-0.07	0.003
Signaling of Hepatocyte Growth Factor Receptor	0	34	35	0.00%	-0.07	0.003
Glycogen Metabolism	0	35	47	0.00%	-0.07	0.394
Melatonin metabolism and effects	0	35	64	0.00%	-0.07	0.996
Photodynamic therapy-induced NF-kB survival signaling	0	35	36	0.00%	-0.07	0.003
Target Of Rapamycin (TOR) Signaling	0	36	40	0.00%	-0.07	0.004
Photodynamic therapy-induced HIF-1 survival signaling	0	37	38	0.00%	-0.07	0.001
Type II interferon signaling (IFNG)	0	37	38	0.00%	-0.07	0.002
Wnt Signaling in Kidney Disease	0	37	39	0.00%	-0.07	0.003
Zinc homeostasis	0	37	39	0.00%	-0.07	0.004
Amyotrophic lateral sclerosis (ALS)	0	38	56	0.00%	-0.07	0.768
G13 Signaling Pathway	0	38	39	0.00%	-0.07	0.002
Nuclear Receptors	0	38	44	0.00%	-0.07	0.016
PDGF Pathway	0	38	52	0.00%	-0.07	0.450
Striated Muscle Contraction	0	38	39	0.00%	-0.07	0.005
IL-5 Signaling Pathway	0	40	41	0.00%	-0.07	0.004
Microglia Pathogen Phagocytosis Pathway	0	40	44	0.00%	-0.07	0.006
Nucleotide-binding Oligomerization Domain (NOD) pathway	0	40	43	0.00%	-0.07	0.004
Oxidative Damage	0	40	44	0.00%	-0.07	0.006
ATM Signaling Pathway	0	41	50	0.00%	-0.07	0.056
Common Pathways Underlying Drug Addiction	0	41	49	0.00%	-0.07	0.033
Eukaryotic Transcription Initiation	0	41	42	0.00%	-0.07	0.003
DNA Replication	0	42	50	0.00%	-0.07	0.031
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	0	42	48	0.00%	-0.07	0.014
IL-2 Signaling Pathway	0	42	43	0.00%	-0.07	0.005
Parkinsons Disease Pathway	0	42	85	0.00%	-0.07	0.999
Selenium Metabolism and Selenoproteins	0	42	56	0.00%	-0.07	0.309
Splicing factor NOVA regulated synaptic proteins	0	42	44	0.00%	-0.07	0.005
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway	0	42	45	0.00%	-0.07	0.005
IL-6 signaling pathway	0	43	45	0.00%	-0.08	0.005
Interleukin-11 Signaling Pathway	0	43	45	0.00%	-0.08	0.004
Vitamin A and Carotenoid Metabolism	0	43	65	0.00%	-0.08	0.880
ATM Signaling Network in Development and Disease 	0	44	49	0.00%	-0.08	0.006
Heart Development	0	44	48	0.00%	-0.08	0.005
Integrated Cancer Pathway	0	44	50	0.00%	-0.08	0.005
Notch Signaling Pathway	0	45	48	0.00%	-0.08	0.004
Aryl Hydrocarbon Receptor Pathway	0	46	49	0.00%	-0.08	0.005
NO/cGMP/PKG mediated Neuroprotection	0	46	64	0.00%	-0.08	0.549
Regulation of Microtubule Cytoskeleton	0	46	47	0.00%	-0.08	0.003
Tryptophan metabolism	0	46	133	0.00%	-0.08	0.999
Aryl Hydrocarbon Receptor	0	47	57	0.00%	-0.08	0.047
Energy Metabolism	0	47	49	0.00%	-0.08	0.006
Structural Pathway of Interleukin 1 (IL-1)	0	48	52	0.00%	-0.08	0.002
Glycolysis and Gluconeogenesis	0	49	73	0.00%	-0.08	0.860
IL-3 Signaling Pathway	0	49	50	0.00%	-0.08	0.003
Vitamin B12 Metabolism	0	49	118	0.00%	-0.08	0.999
Differentiation Pathway	0	50	64	0.00%	-0.08	0.143
Hepatitis C and Hepatocellular Carcinoma	0	50	63	0.00%	-0.08	0.088
Translation Factors	0	50	51	0.00%	-0.08	0.009
One carbon metabolism and related pathways	0	51	93	0.00%	-0.08	0.999
Synaptic Vesicle Pathway	0	51	58	0.00%	-0.08	0.007
Wnt Signaling Pathway Netpath	0	51	52	0.00%	-0.08	0.008
Apoptosis-related network due to altered Notch3 in ovarian cancer	0	52	54	0.00%	-0.08	0.008
Cardiac Progenitor Differentiation	0	52	56	0.00%	-0.08	0.010
Oxidative phosphorylation	0	52	68	0.00%	-0.08	0.219
Copper homeostasis	0	53	58	0.00%	-0.08	0.008
Interferon type I signaling pathways	0	53	57	0.00%	-0.08	0.006
Cardiac Hypertrophic Response	0	54	61	0.00%	-0.08	0.009
ErbB Signaling Pathway	0	54	64	0.00%	-0.08	0.018
TGF-beta Receptor Signaling	0	54	56	0.00%	-0.08	0.002
IL-1 signaling pathway	0	55	57	0.00%	-0.09	0.008
IL-4 Signaling Pathway	0	55	56	0.00%	-0.09	0.003
Pathogenic Escherichia coli infection	0	55	79	0.00%	-0.09	0.728
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway	0	55	58	0.00%	-0.09	0.005
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM	0	56	66	0.00%	-0.09	0.007
Complement and Coagulation Cascades	0	58	63	0.00%	-0.09	0.009
Preimplantation Embryo	0	58	60	0.00%	-0.09	0.008
Kit receptor signaling pathway	0	59	60	0.00%	-0.09	0.007
RIG-I-like Receptor Signaling	0	60	64	0.00%	-0.09	0.007
TYROBP Causal Network	0	60	61	0.00%	-0.09	0.003
Notch Signaling Pathway	0	61	62	0.00%	-0.09	0.005
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection	0	61	70	0.00%	-0.09	0.011
Oxidation by Cytochrome P450	0	62	75	0.00%	-0.09	0.030
Endochondral Ossification	0	63	69	0.00%	-0.09	0.004
Lung fibrosis	0	63	85	0.00%	-0.09	0.349
MECP2 and Associated Rett Syndrome	0	63	101	0.00%	-0.09	0.991
Proteasome Degradation	0	63	67	0.00%	-0.09	0.004
Folate Metabolism	0	64	140	0.00%	-0.09	0.999
Pathways Affected in Adenoid Cystic Carcinoma	0	64	72	0.00%	-0.09	0.006
Oncostatin M Signaling Pathway	0	65	66	0.00%	-0.09	0.006
AGE/RAGE pathway	0	66	67	0.00%	-0.09	0.007
Association Between Physico-Chemical Features and Toxicity Associated Pathways	0	66	78	0.00%	-0.09	0.013
Histone Modifications	0	66	69	0.00%	-0.09	0.005
Human Thyroid Stimulating Hormone (TSH) signaling pathway	0	66	67	0.00%	-0.09	0.004
Wnt Signaling Pathway	0	66	70	0.00%	-0.09	0.013
AMP-activated Protein Kinase (AMPK) Signaling	0	67	78	0.00%	-0.09	0.010
PPAR signaling pathway	0	67	76	0.00%	-0.09	0.011
Rac1/Pak1/p38/MMP-2 pathway	0	67	73	0.00%	-0.09	0.004
DNA Damage Response	0	68	76	0.00%	-0.09	0.006
G1 to S cell cycle control	0	68	69	0.00%	-0.09	0.003
Sterol Regulatory Element-Binding Proteins (SREBP) signalling	0	69	77	0.00%	-0.10	0.006
Parkin-Ubiquitin Proteasomal System pathway	0	71	75	0.00%	-0.10	0.003
miRNA Regulation of DNA Damage Response	0	73	106	0.00%	-0.10	0.789
Peptide GPCRs	0	73	79	0.00%	-0.10	0.011
Primary Focal Segmental Glomerulosclerosis FSGS	0	73	78	0.00%	-0.10	0.005
Arrhythmogenic Right Ventricular Cardiomyopathy	0	74	81	0.00%	-0.10	0.010
Leptin signaling pathway	0	75	77	0.00%	-0.10	0.009
Selenium Micronutrient Network	0	75	195	0.00%	-0.10	0.999
Prolactin Signaling Pathway	0	76	79	0.00%	-0.10	0.007
DNA IR-damage and cellular response via ATR	0	79	91	0.00%	-0.10	0.002
Signaling Pathways in Glioblastoma	0	82	87	0.00%	-0.10	0.008
Alzheimers Disease	0	83	163	0.00%	-0.11	0.999
Apoptosis	0	84	88	0.00%	-0.11	0.002
MicroRNAs in cardiomyocyte hypertrophy	0	84	109	0.00%	-0.11	0.142
Pyrimidine metabolism	0	84	141	0.00%	-0.11	0.999
Retinoblastoma (RB) in Cancer	0	87	98	0.00%	-0.11	0.002
Androgen receptor signaling pathway	0	88	90	0.00%	-0.11	0.007
Cytoplasmic Ribosomal Proteins	0	88	89	0.00%	-0.11	0.006
Electron Transport Chain	0	90	118	0.00%	-0.11	0.190
T-Cell antigen Receptor (TCR)  Signaling Pathway	0	90	93	0.00%	-0.11	0.010
Amino Acid metabolism	0	91	205	0.00%	-0.11	0.999
Corticotropin-releasing hormone signaling pathway	0	91	98	0.00%	-0.11	0.012
Apoptosis Modulation and Signaling	0	92	97	0.00%	-0.11	0.008
G Protein Signaling Pathways	0	92	97	0.00%	-0.11	0.012
TNF alpha Signaling Pathway	0	92	97	0.00%	-0.11	0.006
GPCRs, Other	0	93	118	0.00%	-0.11	0.084
Allograft Rejection	0	95	112	0.00%	-0.11	0.011
B Cell Receptor Signaling Pathway	0	97	99	0.00%	-0.11	0.013
